CARRIER,1(a),1(b),2(a),2(b),2(c),3,4,5,6,7,year,quarter,1,2,perc_denied_boarding,perc_denied_boarding_involuntary,perc_denied_boarding_voluntary,total_denials,cash_per_vol_denial,date
United Air Lines,0.0,15.0,0.0,8.0,3.0,26.0,22.0,11339.0,27080182.0,0.0,2018,Q3 2018,15.0,11.0,0.042,9.6e-05,0.041872,11365.0,0.0,2018-07-01
Alaska Airlines,0.0,56.0,0.0,42.0,7.0,105.0,56.0,2226.0,8260367.0,0.0,2018,Q4 2018,56.0,49.0,0.0282,0.001271,0.026948,2331.0,0.0,2018-10-01
Allegiant Airlines,0.0,0.0,0.0,1.0,65.0,66.0,0.0,46.0,3263797.0,0.0,2018,Q4 2018,0.0,66.0,0.0034,0.002022,0.001409,112.0,0.0,2018-10-01
American Airlines,21.0,839.0,0.0,713.0,0.0,1573.0,1573.0,20168.0,33312446.0,0.0,2018,Q4 2018,860.0,713.0,0.0653,0.004722,0.060542,21741.0,0.0,2018-10-01
Delta Air Lines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22605.0,34570464.0,0.0,2018,Q4 2018,0.0,0.0,0.0654,0.0,0.065388,22605.0,0.0,2018-10-01
Endeavor Air,0.0,0.0,0.0,0.0,2.0,2.0,0.0,4559.0,3446544.0,0.0,2018,Q4 2018,0.0,2.0,0.1323,5.8e-05,0.132277,4561.0,0.0,2018-10-01
Envoy Air,2.0,75.0,0.0,376.0,0.0,453.0,453.0,3104.0,3303994.0,0.0,2018,Q4 2018,77.0,376.0,0.1077,0.013711,0.093947,3557.0,0.0,2018-10-01
ExpressJet Airlines,0.0,9.0,0.0,13.0,0.0,22.0,22.0,1658.0,1835755.0,0.0,2018,Q4 2018,9.0,13.0,0.0915,0.001198,0.090317,1680.0,0.0,2018-10-01
Frontier Airlines,0.0,101.0,0.0,138.0,18.0,257.0,61.0,895.0,4932227.0,1152.0,2018,Q4 2018,101.0,156.0,0.0234,0.005211,0.018146,1152.0,1.29,2018-10-01
Hawaiian Airlines,0.0,5.0,0.0,1.0,0.0,6.0,5.0,326.0,2680823.0,0.0,2018,Q4 2018,5.0,1.0,0.0124,0.000224,0.01216,332.0,0.0,2018-10-01
JetBlue Airways,0.0,13.0,0.0,0.0,0.0,13.0,13.0,487.0,9351646.0,291469.0,2018,Q4 2018,13.0,0.0,0.0053,0.000139,0.005208,500.0,598.5,2018-10-01
Mesa Airlines,0.0,15.0,0.0,86.0,0.0,101.0,101.0,2047.0,3536496.0,0.0,2018,Q4 2018,15.0,86.0,0.0607,0.002856,0.057882,2148.0,0.0,2018-10-01
PSA Airlines,5.0,70.0,0.0,138.0,0.0,213.0,213.0,2356.0,3421745.0,0.0,2018,Q4 2018,75.0,138.0,0.0751,0.006225,0.068854,2569.0,0.0,2018-10-01
Republic Airline,1.0,88.0,0.0,14.0,0.0,103.0,103.0,4275.0,4548762.0,0.0,2018,Q4 2018,89.0,14.0,0.0962,0.002264,0.093982,4378.0,0.0,2018-10-01
SkyWest Airlines,0.0,56.0,0.0,104.0,0.0,160.0,160.0,5977.0,9210026.0,0.0,2018,Q4 2018,56.0,104.0,0.0666,0.001737,0.064897,6137.0,0.0,2018-10-01
Southwest Airlines,116.0,295.0,0.0,0.0,0.0,411.0,411.0,4688.0,41306125.0,0.0,2018,Q4 2018,411.0,0.0,0.0123,0.000995,0.011349,5099.0,0.0,2018-10-01
Spirit Airlines,9.0,34.0,0.0,0.0,0.0,43.0,43.0,5417.0,6897416.0,0.0,2018,Q4 2018,43.0,0.0,0.0792,0.000623,0.078537,5460.0,0.0,2018-10-01
United Air Lines,1.0,7.0,0.0,2.0,13.0,23.0,10.0,7556.0,25234539.0,0.0,2018,Q4 2018,8.0,15.0,0.03,9.1e-05,0.029943,7579.0,0.0,2018-10-01
