tbl,year,quarter,citymarketid,cityname,airportid,apt,TotalMkts,TotalFaredPax,TotalPerLFMkts,TotalAvgHubFare,TotalPerPrem,SHMkts,SHPax,SHPerLFMkts,SHAvgHubFare,SHPerPrem,LHMkts,LHPax,LHPerLFMkts,LHAvgHubFare,LHPerPrem,tbl7pk
Table 7,2012,3,30980,"Chattanooga, TN",10980,CHA,38,822900,0,222.31,-0.0054,19,542800,0,206.9,-0.0178,19,280100,0,252.19,0.0149,2012310980CHA
Table 7,2010,2,31703,"New York City, NY (Metropolitan Area)",12391,ISP,119,4214700,0.9682,154.95,-0.1159,42,708700,0.8837,138.64,0.1644,77,3506000,0.9853,158.25,-0.1521,2010212391ISP
Table 7,2004,2,30397,"Atlanta, GA (Metropolitan Area)",10397,ATL,157,59981400,0.7367,164.13,0.0786,97,36359800,0.729,151.69,0.0661,60,23621600,0.7485,183.28,0.0948,2004210397ATL
Table 7,2018,1,30436,"Tucson, AZ",15376,TUS,81,6515800,0.8372,240.68,-0.0138,11,1763400,0.979,183.44,-0.046,70,4752400,0.7846,261.92,-0.0051,2018115376TUS
Table 7,2009,4,30615,"El Paso, TX",11540,ELP,72,6026700,0.8042,177.21,-0.0299,21,3586000,0.8856,155.92,-0.0303,51,2440700,0.6846,208.48,-0.0295,2009411540ELP
Table 7,2015,4,31423,"Des Moines, IA",11423,DSM,66,4277200,0.7538,230.56,-0.0086,15,1118500,0.5783,228.32,0.1035,51,3158700,0.816,231.36,-0.0425,2015411423DSM
Table 7,1999,3,33029,"Lincoln, NE",13029,LNK,36,773000,0,169.06,-0.1323,8,280200,0,153.66,-0.0625,28,492800,0,177.82,-0.163,1999313029LNK
Table 7,2018,2,30397,"Atlanta, GA (Metropolitan Area)",10397,ATL,167,77542100,0.7862,206.57,0.0694,98,45007600,0.7041,184.76,0.0163,69,32534500,0.8999,236.74,0.1332,2018210397ATL
Table 7,1997,2,31252,"Daytona Beach, FL",11252,DAB,38,1408700,0,124.07,-0.3305,8,297600,0,122.67,-0.3115,30,1111100,0,124.45,-0.3353,1997211252DAB
Table 7,2017,1,33127,"Lewiston, ID",13127,LWS,8,109200,0,165.99,-22.5013,3,87600,0,159.17,-18.7051,5,21600,0,193.66,-32.9396,2017113127LWS
