Airport_name,Airport_code
"Wichita, KS: Wichita Dwight D Eisenhower National (ICT)",ICT
"Williamsport, PA: Williamsport Regional (IPT)",IPT
"Williston, ND: Sloulin Field International (ISN)",ISN
"Williston, ND: Williston Basin International (XWA)",XWA
"Wilmington, DE: New Castle (ILG)",ILG
"Wilmington, NC: Wilmington International (ILM)",ILM
"Worcester, MA: Worcester Regional (ORH)",ORH
"Wrangell, AK: Wrangell Airport (WRG)",WRG
"Yakima, WA: Yakima Air Terminal/McAllister Field (YKM)",YKM
"Yakutat, AK: Yakutat Airport (YAK)",YAK
"Yap, Federated States of Micronesia: Yap International (YAP)",YAP
"Youngstown/Warren, OH: Youngstown-Warren Regional (YNG)",YNG
"Yuma, AZ: Yuma MCAS/Yuma International (YUM)",YUM
