,CARRIER,1(a),1(b),2(a),2(b),2(c),3,4,5,6,7,year,quarter,1,2,perc_denied_boarding,perc_denied_boarding_involuntary,perc_denied_boarding_voluntary,date
2,American Airlines,21.0,839.0,0.0,713.0,0.0,1573.0,1573.0,20168.0,33312446.0,0.0,2018,Q4 2018,860.0,713.0,0.06530000000000001,0.004699999999999999,0.0605,2018-10-01
3,Delta Air Lines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22605.0,34570464.0,0.0,2018,Q4 2018,0.0,0.0,0.0654,0.0,0.0654,2018-10-01
4,Endeavor Air,0.0,0.0,0.0,0.0,2.0,2.0,0.0,4559.0,3446544.0,0.0,2018,Q4 2018,0.0,2.0,0.1323,9.999999999999999e-05,0.1323,2018-10-01
5,Envoy Air,2.0,75.0,0.0,376.0,0.0,453.0,453.0,3104.0,3303994.0,0.0,2018,Q4 2018,77.0,376.0,0.1077,0.0137,0.0939,2018-10-01
6,ExpressJet Airlines,0.0,9.0,0.0,13.0,0.0,22.0,22.0,1658.0,1835755.0,0.0,2018,Q4 2018,9.0,13.0,0.0915,0.0012000000000000001,0.0903,2018-10-01
7,Frontier Airlines,0.0,101.0,0.0,138.0,18.0,257.0,61.0,895.0,4932227.0,1152.0,2018,Q4 2018,101.0,156.0,0.0234,0.0052,0.0181,2018-10-01
8,Hawaiian Airlines,0.0,5.0,0.0,1.0,0.0,6.0,5.0,326.0,2680823.0,0.0,2018,Q4 2018,5.0,1.0,0.012400000000000001,0.00019999999999999998,0.012199999999999999,2018-10-01
9,JetBlue Airways,0.0,13.0,0.0,0.0,0.0,13.0,13.0,487.0,9351646.0,291469.0,2018,Q4 2018,13.0,0.0,0.0053,9.999999999999999e-05,0.0052,2018-10-01
10,Mesa Airlines,0.0,15.0,0.0,86.0,0.0,101.0,101.0,2047.0,3536496.0,0.0,2018,Q4 2018,15.0,86.0,0.060700000000000004,0.0029,0.0579,2018-10-01
11,PSA Airlines,5.0,70.0,0.0,138.0,0.0,213.0,213.0,2356.0,3421745.0,0.0,2018,Q4 2018,75.0,138.0,0.0751,0.006200000000000001,0.0689,2018-10-01
12,Republic Airline,1.0,88.0,0.0,14.0,0.0,103.0,103.0,4275.0,4548762.0,0.0,2018,Q4 2018,89.0,14.0,0.0962,0.0023,0.094,2018-10-01
13,SkyWest Airlines,0.0,56.0,0.0,104.0,0.0,160.0,160.0,5977.0,9210026.0,0.0,2018,Q4 2018,56.0,104.0,0.0666,0.0017,0.0649,2018-10-01
14,Southwest Airlines,116.0,295.0,0.0,0.0,0.0,411.0,411.0,4688.0,41306125.0,0.0,2018,Q4 2018,411.0,0.0,0.0123,0.001,0.0113,2018-10-01
15,Spirit Airlines,9.0,34.0,0.0,0.0,0.0,43.0,43.0,5417.0,6897416.0,0.0,2018,Q4 2018,43.0,0.0,0.07919999999999999,0.0006000000000000001,0.0785,2018-10-01
16,United Air Lines,1.0,7.0,0.0,2.0,13.0,23.0,10.0,7556.0,25234539.0,0.0,2018,Q4 2018,8.0,15.0,0.03,9.999999999999999e-05,0.0299,2018-10-01
0,Alaska Airlines,0.0,107.0,0.0,44.0,7.0,158.0,107.0,2498.0,7612627.0,0.0,2019,Q1 2019,107.0,51.0,0.0349,0.0021,0.0328,2019-01-01
1,Allegiant Airlines,0.0,0.0,0.0,434.0,76.0,510.0,0.0,34.0,3473390.0,0.0,2019,Q1 2019,0.0,510.0,0.0157,0.0147,0.001,2019-01-01
2,American Airlines,25.0,955.0,0.0,727.0,17.0,1724.0,1707.0,28362.0,33083888.0,0.0,2019,Q1 2019,980.0,744.0,0.0909,0.0052,0.0857,2019-01-01
3,Delta Air Lines,1.0,0.0,0.0,0.0,0.0,1.0,1.0,28276.0,32597931.0,0.0,2019,Q1 2019,1.0,0.0,0.0867,0.0,0.0867,2019-01-01
4,Endeavor Air,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4432.0,3113553.0,0.0,2019,Q1 2019,0.0,0.0,0.1423,0.0,0.1423,2019-01-01
5,Envoy Air,1.0,104.0,0.0,385.0,0.0,490.0,490.0,3807.0,3137713.0,0.0,2019,Q1 2019,105.0,385.0,0.1369,0.0156,0.1213,2019-01-01
6,ExpressJet Airlines,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1470.0,1454843.0,0.0,2019,Q1 2019,0.0,1.0,0.1011,9.999999999999999e-05,0.101,2019-01-01
7,Frontier Airlines,0.0,81.0,0.0,73.0,14.0,168.0,59.0,587.0,5128189.0,989.0,2019,Q1 2019,81.0,87.0,0.0147,0.0033000000000000004,0.0114,2019-01-01
8,Hawaiian Airlines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,2615452.0,400.0,2019,Q1 2019,0.0,0.0,0.0028,0.0,0.0028,2019-01-01
9,JetBlue Airways,0.0,23.0,0.0,0.0,0.0,23.0,23.0,721.0,9061253.0,451304.0,2019,Q1 2019,23.0,0.0,0.0082,0.00030000000000000003,0.008,2019-01-01
10,Mesa Airlines,0.0,24.0,0.0,461.0,0.0,485.0,485.0,3864.0,3288521.0,0.0,2019,Q1 2019,24.0,461.0,0.1322,0.0147,0.11750000000000001,2019-01-01
11,PSA Airlines,1.0,75.0,0.0,184.0,7.0,267.0,260.0,3166.0,3412630.0,0.0,2019,Q1 2019,76.0,191.0,0.1006,0.0078,0.0928,2019-01-01
12,Republic Airways,1.0,67.0,0.0,12.0,0.0,80.0,80.0,3713.0,4183267.0,0.0,2019,Q1 2019,68.0,12.0,0.0907,0.0019000000000000002,0.0888,2019-01-01
13,SkyWest Airlines,2.0,80.0,1.0,150.0,0.0,233.0,231.0,7163.0,8697930.0,0.0,2019,Q1 2019,82.0,151.0,0.08499999999999999,0.0026999999999999997,0.0824,2019-01-01
14,Southwest Airlines,334.0,1260.0,0.0,0.0,0.0,1594.0,1594.0,9996.0,37409141.0,0.0,2019,Q1 2019,1594.0,0.0,0.031,0.0043,0.026699999999999998,2019-01-01
